nodeName	altName	nodeAttr[nodesPresent, ]
Tsubulata_000030	NA	blue
Tsubulata_000039	NA	blue
Tsubulata_000074	NA	blue
Tsubulata_000092	NA	blue
Tsubulata_000105	NA	blue
Tsubulata_000112	NA	blue
Tsubulata_000116	NA	blue
Tsubulata_000129	NA	blue
Tsubulata_000134	NA	blue
Tsubulata_000146	NA	blue
Tsubulata_000180	NA	blue
Tsubulata_000185	NA	blue
Tsubulata_000197	NA	blue
Tsubulata_000209	NA	blue
Tsubulata_000225	NA	blue
Tsubulata_000227	NA	blue
Tsubulata_000259	NA	blue
Tsubulata_000261	NA	blue
Tsubulata_000270	NA	blue
Tsubulata_000298	NA	blue
Tsubulata_000310	NA	blue
Tsubulata_000316	NA	blue
Tsubulata_000349	NA	blue
Tsubulata_000354	NA	blue
Tsubulata_000359	NA	blue
Tsubulata_000366	NA	blue
Tsubulata_000369	NA	blue
Tsubulata_000370	NA	blue
Tsubulata_000374	NA	blue
Tsubulata_000380	NA	blue
Tsubulata_000388	NA	blue
Tsubulata_000393	NA	blue
Tsubulata_000397	NA	blue
Tsubulata_000398	NA	blue
Tsubulata_000424	NA	blue
Tsubulata_000456	NA	blue
Tsubulata_000465	NA	blue
Tsubulata_000494	NA	blue
Tsubulata_000510	NA	blue
Tsubulata_000516	NA	blue
Tsubulata_000543	NA	blue
Tsubulata_000544	NA	blue
Tsubulata_000547	NA	blue
Tsubulata_000575	NA	blue
Tsubulata_000592	NA	blue
Tsubulata_000594	NA	blue
Tsubulata_000609	NA	blue
Tsubulata_000618	NA	blue
Tsubulata_000629	NA	blue
Tsubulata_000639	NA	blue
Tsubulata_000644	NA	blue
Tsubulata_000653	NA	blue
Tsubulata_000661	NA	blue
Tsubulata_000665	NA	blue
Tsubulata_000676	NA	blue
Tsubulata_000678	NA	blue
Tsubulata_000683	NA	blue
Tsubulata_000685	NA	blue
Tsubulata_000706	NA	blue
Tsubulata_000847	NA	blue
Tsubulata_000849	NA	blue
Tsubulata_000858	NA	blue
Tsubulata_000904	NA	blue
Tsubulata_000908	NA	blue
Tsubulata_000934	NA	blue
Tsubulata_000939	NA	blue
Tsubulata_000950	NA	blue
Tsubulata_000994	NA	blue
Tsubulata_001001	NA	blue
Tsubulata_001010	NA	blue
Tsubulata_001018	NA	blue
Tsubulata_001033	NA	blue
Tsubulata_001038	NA	blue
Tsubulata_001040	NA	blue
Tsubulata_001043	NA	blue
Tsubulata_001044	NA	blue
Tsubulata_001069	NA	blue
Tsubulata_001073	NA	blue
Tsubulata_001087	NA	blue
Tsubulata_001094	NA	blue
Tsubulata_001115	NA	blue
Tsubulata_001134	NA	blue
Tsubulata_001246	NA	blue
Tsubulata_001259	NA	blue
Tsubulata_001277	NA	blue
Tsubulata_001278	NA	blue
Tsubulata_001293	NA	blue
Tsubulata_001314	NA	blue
Tsubulata_001325	NA	blue
Tsubulata_001337	NA	blue
Tsubulata_001342	NA	blue
Tsubulata_001343	NA	blue
Tsubulata_001349	NA	blue
