nodeName	altName	nodeAttr[nodesPresent, ]
Tsubulata_000037	NA	turquoise
Tsubulata_000040	NA	magenta
Tsubulata_000041	NA	turquoise
Tsubulata_000044	NA	turquoise
Tsubulata_000054	NA	turquoise
Tsubulata_000060	NA	turquoise
Tsubulata_000066	NA	turquoise
Tsubulata_000068	NA	turquoise
Tsubulata_000069	NA	turquoise
Tsubulata_000077	NA	magenta
Tsubulata_000080	NA	turquoise
Tsubulata_000097	NA	turquoise
Tsubulata_000108	NA	turquoise
Tsubulata_000117	NA	turquoise
Tsubulata_000118	NA	turquoise
Tsubulata_000135	NA	turquoise
Tsubulata_000144	NA	turquoise
Tsubulata_000163	NA	turquoise
Tsubulata_000216	NA	turquoise
Tsubulata_000221	NA	turquoise
Tsubulata_000232	NA	turquoise
Tsubulata_000267	NA	magenta
Tsubulata_000268	NA	turquoise
Tsubulata_000290	NA	turquoise
Tsubulata_000294	NA	turquoise
Tsubulata_000305	NA	turquoise
Tsubulata_000323	NA	turquoise
Tsubulata_000328	NA	turquoise
Tsubulata_000329	NA	turquoise
Tsubulata_000332	NA	turquoise
Tsubulata_000340	NA	turquoise
Tsubulata_000341	NA	turquoise
Tsubulata_000347	NA	turquoise
Tsubulata_000355	NA	turquoise
Tsubulata_000356	NA	turquoise
Tsubulata_000367	NA	turquoise
Tsubulata_000379	NA	turquoise
Tsubulata_000392	NA	turquoise
Tsubulata_000400	NA	turquoise
Tsubulata_000401	NA	turquoise
Tsubulata_000414	NA	turquoise
Tsubulata_000421	NA	turquoise
Tsubulata_000442	NA	turquoise
Tsubulata_000445	NA	turquoise
Tsubulata_000449	NA	turquoise
Tsubulata_000450	NA	turquoise
Tsubulata_000458	NA	turquoise
Tsubulata_000459	NA	turquoise
Tsubulata_000475	NA	turquoise
Tsubulata_000505	NA	turquoise
Tsubulata_000514	NA	turquoise
Tsubulata_000528	NA	magenta
Tsubulata_000539	NA	turquoise
Tsubulata_000540	NA	turquoise
Tsubulata_000553	NA	turquoise
Tsubulata_000557	NA	turquoise
Tsubulata_000560	NA	magenta
Tsubulata_000563	NA	turquoise
Tsubulata_000566	NA	turquoise
Tsubulata_000568	NA	magenta
Tsubulata_000574	NA	turquoise
Tsubulata_000587	NA	turquoise
Tsubulata_000593	NA	turquoise
Tsubulata_000599	NA	turquoise
Tsubulata_000612	NA	turquoise
Tsubulata_000621	NA	turquoise
Tsubulata_000624	NA	turquoise
Tsubulata_000626	NA	turquoise
Tsubulata_000627	NA	turquoise
Tsubulata_000635	NA	turquoise
Tsubulata_000640	NA	turquoise
Tsubulata_000641	NA	turquoise
Tsubulata_000647	NA	turquoise
Tsubulata_000648	NA	turquoise
Tsubulata_000649	NA	turquoise
Tsubulata_000651	NA	turquoise
Tsubulata_000658	NA	turquoise
Tsubulata_000659	NA	turquoise
Tsubulata_000664	NA	turquoise
Tsubulata_000684	NA	turquoise
Tsubulata_000725	NA	turquoise
Tsubulata_000729	NA	turquoise
Tsubulata_000730	NA	turquoise
Tsubulata_000757	NA	turquoise
Tsubulata_000758	NA	turquoise
Tsubulata_000775	NA	turquoise
Tsubulata_000776	NA	turquoise
Tsubulata_000781	NA	turquoise
Tsubulata_000789	NA	turquoise
Tsubulata_000795	NA	turquoise
Tsubulata_000800	NA	turquoise
Tsubulata_000816	NA	turquoise
Tsubulata_000854	NA	turquoise
Tsubulata_000864	NA	turquoise
