nodeName	altName	nodeAttr[nodesPresent, ]
Tsubulata_000003	NA	pink
Tsubulata_000005	NA	pink
Tsubulata_000006	NA	pink
Tsubulata_000033	NA	pink
Tsubulata_000085	NA	pink
Tsubulata_000086	NA	pink
Tsubulata_000090	NA	pink
Tsubulata_000110	NA	pink
Tsubulata_000111	NA	pink
Tsubulata_000165	NA	pink
Tsubulata_000224	NA	pink
Tsubulata_000226	NA	pink
Tsubulata_000254	NA	pink
Tsubulata_000285	NA	pink
Tsubulata_000297	NA	pink
Tsubulata_000339	NA	pink
Tsubulata_000360	NA	pink
Tsubulata_000390	NA	pink
Tsubulata_000407	NA	pink
Tsubulata_000416	NA	pink
Tsubulata_000423	NA	pink
Tsubulata_000428	NA	pink
Tsubulata_000457	NA	pink
Tsubulata_000460	NA	pink
Tsubulata_000469	NA	pink
Tsubulata_000483	NA	pink
Tsubulata_000524	NA	pink
Tsubulata_000556	NA	pink
Tsubulata_000613	NA	pink
Tsubulata_000654	NA	pink
Tsubulata_000673	NA	pink
Tsubulata_000682	NA	pink
Tsubulata_000691	NA	pink
Tsubulata_000769	NA	pink
Tsubulata_000810	NA	pink
Tsubulata_000844	NA	pink
Tsubulata_000873	NA	pink
Tsubulata_000889	NA	pink
Tsubulata_000906	NA	pink
Tsubulata_000933	NA	pink
Tsubulata_000981	NA	pink
Tsubulata_001032	NA	pink
Tsubulata_001052	NA	pink
Tsubulata_001056	NA	pink
Tsubulata_001104	NA	pink
Tsubulata_001208	NA	pink
Tsubulata_001214	NA	pink
Tsubulata_001217	NA	pink
Tsubulata_001250	NA	pink
Tsubulata_001257	NA	pink
Tsubulata_001333	NA	pink
Tsubulata_001334	NA	pink
Tsubulata_001396	NA	pink
Tsubulata_001473	NA	pink
Tsubulata_001504	NA	pink
Tsubulata_001535	NA	pink
Tsubulata_001557	NA	pink
Tsubulata_001585	NA	pink
Tsubulata_001616	NA	pink
Tsubulata_001751	NA	pink
Tsubulata_001753	NA	pink
Tsubulata_001796	NA	pink
Tsubulata_001808	NA	pink
Tsubulata_001816	NA	pink
Tsubulata_001845	NA	pink
Tsubulata_001861	NA	pink
Tsubulata_001868	NA	pink
Tsubulata_001907	NA	pink
Tsubulata_001915	NA	pink
Tsubulata_001967	NA	pink
Tsubulata_001975	NA	pink
Tsubulata_002069	NA	pink
Tsubulata_002070	NA	pink
Tsubulata_002100	NA	pink
Tsubulata_002124	NA	pink
Tsubulata_002137	NA	pink
Tsubulata_002148	NA	pink
Tsubulata_002158	NA	pink
Tsubulata_002183	NA	pink
Tsubulata_002257	NA	pink
Tsubulata_002266	NA	pink
Tsubulata_002271	NA	pink
Tsubulata_002335	NA	pink
Tsubulata_002364	NA	pink
Tsubulata_002377	NA	pink
Tsubulata_002403	NA	pink
Tsubulata_002407	NA	pink
Tsubulata_002428	NA	pink
Tsubulata_002576	NA	pink
Tsubulata_002586	NA	pink
Tsubulata_002598	NA	pink
Tsubulata_002667	NA	pink
Tsubulata_002695	NA	pink
Tsubulata_002731	NA	pink
Tsubulata_002738	NA	pink
Tsubulata_002739	NA	pink
Tsubulata_002740	NA	pink
Tsubulata_002748	NA	pink
Tsubulata_002755	NA	pink
Tsubulata_002763	NA	pink
Tsubulata_002790	NA	pink
Tsubulata_002795	NA	pink
Tsubulata_002861	NA	pink
Tsubulata_002900	NA	pink
Tsubulata_002902	NA	pink
Tsubulata_002903	NA	pink
Tsubulata_002908	NA	pink
Tsubulata_002936	NA	pink
Tsubulata_002962	NA	pink
Tsubulata_002977	NA	pink
Tsubulata_002978	NA	pink
Tsubulata_003070	NA	pink
Tsubulata_003085	NA	pink
Tsubulata_003098	NA	pink
Tsubulata_003110	NA	pink
Tsubulata_003114	NA	pink
Tsubulata_003137	NA	pink
Tsubulata_003146	NA	pink
Tsubulata_003147	NA	pink
Tsubulata_003184	NA	pink
Tsubulata_003193	NA	pink
Tsubulata_003203	NA	pink
Tsubulata_003225	NA	pink
Tsubulata_003230	NA	pink
Tsubulata_003233	NA	pink
Tsubulata_003258	NA	pink
Tsubulata_003282	NA	pink
Tsubulata_003290	NA	pink
Tsubulata_003305	NA	pink
Tsubulata_003493	NA	pink
Tsubulata_003500	NA	pink
Tsubulata_003505	NA	pink
Tsubulata_003539	NA	pink
Tsubulata_003561	NA	pink
Tsubulata_003563	NA	pink
Tsubulata_003569	NA	pink
Tsubulata_003602	NA	pink
Tsubulata_003620	NA	pink
Tsubulata_003723	NA	pink
Tsubulata_003739	NA	pink
Tsubulata_003828	NA	pink
Tsubulata_003847	NA	pink
Tsubulata_003932	NA	pink
Tsubulata_003948	NA	pink
Tsubulata_003953	NA	pink
Tsubulata_003957	NA	pink
Tsubulata_004050	NA	pink
Tsubulata_004051	NA	pink
Tsubulata_004077	NA	pink
Tsubulata_004084	NA	pink
Tsubulata_004128	NA	pink
Tsubulata_004229	NA	pink
Tsubulata_004230	NA	pink
Tsubulata_004233	NA	pink
Tsubulata_004235	NA	pink
Tsubulata_004239	NA	pink
Tsubulata_004248	NA	pink
Tsubulata_004251	NA	pink
Tsubulata_004252	NA	pink
Tsubulata_004255	NA	pink
Tsubulata_004267	NA	pink
Tsubulata_004321	NA	pink
Tsubulata_004344	NA	pink
Tsubulata_004431	NA	pink
Tsubulata_004436	NA	pink
Tsubulata_004457	NA	pink
Tsubulata_004488	NA	pink
Tsubulata_004563	NA	pink
Tsubulata_004567	NA	pink
Tsubulata_004596	NA	pink
Tsubulata_004609	NA	pink
Tsubulata_004615	NA	pink
Tsubulata_004623	NA	pink
Tsubulata_004646	NA	pink
Tsubulata_004656	NA	pink
Tsubulata_004664	NA	pink
Tsubulata_004668	NA	pink
Tsubulata_004714	NA	pink
Tsubulata_004742	NA	pink
Tsubulata_004743	NA	pink
Tsubulata_004798	NA	pink
Tsubulata_004853	NA	pink
Tsubulata_004931	NA	pink
Tsubulata_004953	NA	pink
Tsubulata_005005	NA	pink
Tsubulata_005007	NA	pink
Tsubulata_005025	NA	pink
Tsubulata_005082	NA	pink
Tsubulata_005093	NA	pink
Tsubulata_005095	NA	pink
Tsubulata_005169	NA	pink
Tsubulata_005174	NA	pink
Tsubulata_005175	NA	pink
Tsubulata_005176	NA	pink
Tsubulata_005299	NA	pink
Tsubulata_005362	NA	pink
Tsubulata_005368	NA	pink
Tsubulata_005473	NA	pink
Tsubulata_005502	NA	pink
Tsubulata_005579	NA	pink
Tsubulata_005609	NA	pink
Tsubulata_005648	NA	pink
Tsubulata_005669	NA	pink
Tsubulata_005701	NA	pink
Tsubulata_005703	NA	pink
Tsubulata_005711	NA	pink
Tsubulata_005726	NA	pink
Tsubulata_005748	NA	pink
Tsubulata_005750	NA	pink
Tsubulata_005753	NA	pink
Tsubulata_005764	NA	pink
Tsubulata_005809	NA	pink
Tsubulata_005877	NA	pink
Tsubulata_005889	NA	pink
Tsubulata_005900	NA	pink
Tsubulata_005921	NA	pink
Tsubulata_006055	NA	pink
Tsubulata_006124	NA	pink
Tsubulata_006127	NA	pink
Tsubulata_006130	NA	pink
Tsubulata_006159	NA	pink
Tsubulata_006160	NA	pink
Tsubulata_006166	NA	pink
Tsubulata_006222	NA	pink
Tsubulata_006226	NA	pink
Tsubulata_006231	NA	pink
Tsubulata_006234	NA	pink
Tsubulata_006250	NA	pink
Tsubulata_006252	NA	pink
Tsubulata_006320	NA	pink
Tsubulata_006332	NA	pink
Tsubulata_006517	NA	pink
Tsubulata_006567	NA	pink
Tsubulata_006569	NA	pink
Tsubulata_006601	NA	pink
Tsubulata_006626	NA	pink
Tsubulata_006630	NA	pink
Tsubulata_006632	NA	pink
Tsubulata_006640	NA	pink
Tsubulata_006660	NA	pink
Tsubulata_006666	NA	pink
Tsubulata_006695	NA	pink
Tsubulata_006703	NA	pink
Tsubulata_006724	NA	pink
Tsubulata_006808	NA	pink
Tsubulata_006821	NA	pink
Tsubulata_006831	NA	pink
Tsubulata_006839	NA	pink
Tsubulata_006906	NA	pink
Tsubulata_006907	NA	pink
Tsubulata_006914	NA	pink
Tsubulata_006935	NA	pink
Tsubulata_006992	NA	pink
Tsubulata_007021	NA	pink
Tsubulata_007038	NA	pink
Tsubulata_007055	NA	pink
Tsubulata_007065	NA	pink
Tsubulata_007071	NA	pink
Tsubulata_007076	NA	pink
Tsubulata_007096	NA	pink
Tsubulata_007144	NA	pink
Tsubulata_007165	NA	pink
Tsubulata_007167	NA	pink
Tsubulata_007168	NA	pink
Tsubulata_007219	NA	pink
Tsubulata_007250	NA	pink
Tsubulata_007253	NA	pink
Tsubulata_007294	NA	pink
Tsubulata_007306	NA	pink
Tsubulata_007308	NA	pink
Tsubulata_007309	NA	pink
Tsubulata_007341	NA	pink
Tsubulata_007374	NA	pink
Tsubulata_007395	NA	pink
Tsubulata_007427	NA	pink
Tsubulata_007432	NA	pink
Tsubulata_007440	NA	pink
Tsubulata_007449	NA	pink
Tsubulata_007501	NA	pink
Tsubulata_007517	NA	pink
Tsubulata_007544	NA	pink
Tsubulata_007545	NA	pink
Tsubulata_007546	NA	pink
Tsubulata_007551	NA	pink
Tsubulata_007552	NA	pink
Tsubulata_007554	NA	pink
Tsubulata_007676	NA	pink
Tsubulata_007679	NA	pink
Tsubulata_007740	NA	pink
Tsubulata_007763	NA	pink
Tsubulata_007767	NA	pink
Tsubulata_007770	NA	pink
Tsubulata_007772	NA	pink
Tsubulata_007881	NA	pink
Tsubulata_007893	NA	pink
Tsubulata_007894	NA	pink
Tsubulata_007906	NA	pink
Tsubulata_007928	NA	pink
Tsubulata_007957	NA	pink
Tsubulata_007966	NA	pink
Tsubulata_007969	NA	pink
Tsubulata_007973	NA	pink
Tsubulata_007986	NA	pink
Tsubulata_008064	NA	pink
Tsubulata_008213	NA	pink
Tsubulata_008232	NA	pink
Tsubulata_008270	NA	pink
Tsubulata_008274	NA	pink
Tsubulata_008307	NA	pink
Tsubulata_008310	NA	pink
Tsubulata_008318	NA	pink
Tsubulata_008336	NA	pink
Tsubulata_008352	NA	pink
Tsubulata_008376	NA	pink
Tsubulata_008393	NA	pink
Tsubulata_008407	NA	pink
Tsubulata_008412	NA	pink
Tsubulata_008427	NA	pink
Tsubulata_008466	NA	pink
Tsubulata_008549	NA	pink
Tsubulata_008631	NA	pink
Tsubulata_008684	NA	pink
Tsubulata_008691	NA	pink
Tsubulata_008698	NA	pink
Tsubulata_008711	NA	pink
Tsubulata_008811	NA	pink
Tsubulata_008833	NA	pink
Tsubulata_008849	NA	pink
Tsubulata_008864	NA	pink
Tsubulata_008875	NA	pink
Tsubulata_008890	NA	pink
Tsubulata_008930	NA	pink
Tsubulata_008935	NA	pink
Tsubulata_008955	NA	pink
Tsubulata_008960	NA	pink
Tsubulata_008976	NA	pink
Tsubulata_008987	NA	pink
Tsubulata_009012	NA	pink
Tsubulata_009035	NA	pink
Tsubulata_009066	NA	pink
Tsubulata_009070	NA	pink
Tsubulata_009077	NA	pink
Tsubulata_009083	NA	pink
Tsubulata_009113	NA	pink
Tsubulata_009135	NA	pink
Tsubulata_009148	NA	pink
Tsubulata_009227	NA	pink
Tsubulata_009261	NA	pink
Tsubulata_009305	NA	pink
Tsubulata_009307	NA	pink
Tsubulata_009433	NA	pink
Tsubulata_009439	NA	pink
Tsubulata_009478	NA	pink
Tsubulata_009495	NA	pink
Tsubulata_009501	NA	pink
Tsubulata_009525	NA	pink
Tsubulata_009545	NA	pink
Tsubulata_009571	NA	pink
Tsubulata_009621	NA	pink
Tsubulata_009640	NA	pink
Tsubulata_009648	NA	pink
Tsubulata_009649	NA	pink
Tsubulata_009705	NA	pink
Tsubulata_009720	NA	pink
Tsubulata_009725	NA	pink
Tsubulata_009746	NA	pink
Tsubulata_009766	NA	pink
Tsubulata_009785	NA	pink
Tsubulata_009861	NA	pink
Tsubulata_009869	NA	pink
Tsubulata_009891	NA	pink
Tsubulata_009901	NA	pink
Tsubulata_009943	NA	pink
Tsubulata_010006	NA	pink
Tsubulata_010039	NA	pink
Tsubulata_010040	NA	pink
Tsubulata_010054	NA	pink
Tsubulata_010057	NA	pink
Tsubulata_010066	NA	pink
Tsubulata_010133	NA	pink
Tsubulata_010138	NA	pink
Tsubulata_010143	NA	pink
Tsubulata_010154	NA	pink
Tsubulata_010165	NA	pink
Tsubulata_010170	NA	pink
Tsubulata_010176	NA	pink
Tsubulata_010192	NA	pink
Tsubulata_010221	NA	pink
Tsubulata_010226	NA	pink
Tsubulata_010227	NA	pink
Tsubulata_010228	NA	pink
Tsubulata_010240	NA	pink
Tsubulata_010279	NA	pink
Tsubulata_010308	NA	pink
Tsubulata_010333	NA	pink
Tsubulata_010350	NA	pink
Tsubulata_010372	NA	pink
Tsubulata_010377	NA	pink
Tsubulata_010511	NA	pink
Tsubulata_010552	NA	pink
Tsubulata_010554	NA	pink
Tsubulata_010568	NA	pink
Tsubulata_010655	NA	pink
Tsubulata_010702	NA	pink
Tsubulata_010708	NA	pink
Tsubulata_010711	NA	pink
Tsubulata_010716	NA	pink
Tsubulata_010811	NA	pink
Tsubulata_010812	NA	pink
Tsubulata_010869	NA	pink
Tsubulata_010887	NA	pink
Tsubulata_010924	NA	pink
Tsubulata_010939	NA	pink
Tsubulata_010941	NA	pink
Tsubulata_010947	NA	pink
Tsubulata_010954	NA	pink
Tsubulata_010962	NA	pink
Tsubulata_011107	NA	pink
Tsubulata_011158	NA	pink
Tsubulata_011160	NA	pink
Tsubulata_011169	NA	pink
Tsubulata_011172	NA	pink
Tsubulata_011179	NA	pink
Tsubulata_011288	NA	pink
Tsubulata_011306	NA	pink
Tsubulata_011307	NA	pink
Tsubulata_011329	NA	pink
Tsubulata_011353	NA	pink
Tsubulata_011354	NA	pink
Tsubulata_011395	NA	pink
Tsubulata_011397	NA	pink
Tsubulata_011427	NA	pink
Tsubulata_011509	NA	pink
Tsubulata_011689	NA	pink
Tsubulata_011713	NA	pink
Tsubulata_011717	NA	pink
Tsubulata_011722	NA	pink
Tsubulata_011777	NA	pink
Tsubulata_011822	NA	pink
Tsubulata_011825	NA	pink
Tsubulata_011875	NA	pink
Tsubulata_011876	NA	pink
Tsubulata_011924	NA	pink
Tsubulata_011931	NA	pink
Tsubulata_011957	NA	pink
Tsubulata_011959	NA	pink
Tsubulata_012007	NA	pink
Tsubulata_012022	NA	pink
Tsubulata_012071	NA	pink
Tsubulata_012087	NA	pink
Tsubulata_012223	NA	pink
Tsubulata_012224	NA	pink
Tsubulata_012229	NA	pink
Tsubulata_012230	NA	pink
Tsubulata_012231	NA	pink
Tsubulata_012252	NA	pink
Tsubulata_012255	NA	pink
Tsubulata_012276	NA	pink
Tsubulata_012284	NA	pink
Tsubulata_012311	NA	pink
Tsubulata_012405	NA	pink
Tsubulata_012434	NA	pink
Tsubulata_012439	NA	pink
Tsubulata_012508	NA	pink
Tsubulata_012523	NA	pink
Tsubulata_012550	NA	pink
Tsubulata_012589	NA	pink
Tsubulata_012591	NA	pink
Tsubulata_012594	NA	pink
Tsubulata_012644	NA	pink
Tsubulata_012653	NA	pink
Tsubulata_012654	NA	pink
Tsubulata_012734	NA	pink
Tsubulata_012811	NA	pink
Tsubulata_012843	NA	pink
Tsubulata_012857	NA	pink
Tsubulata_012900	NA	pink
Tsubulata_012906	NA	pink
Tsubulata_012909	NA	pink
Tsubulata_012956	NA	pink
Tsubulata_012986	NA	pink
Tsubulata_012990	NA	pink
Tsubulata_013033	NA	pink
Tsubulata_013053	NA	pink
Tsubulata_013057	NA	pink
