nodeName	altName	nodeAttr[nodesPresent, ]
MK890302.1.304670..304831	NA	purple
Tsubulata_000017	NA	purple
Tsubulata_000034	NA	darkgrey
Tsubulata_000036	NA	purple
Tsubulata_000048	NA	purple
Tsubulata_000107	NA	purple
Tsubulata_000109	NA	purple
Tsubulata_000131	NA	purple
Tsubulata_000142	NA	purple
Tsubulata_000252	NA	darkgrey
Tsubulata_000371	NA	purple
Tsubulata_000372	NA	purple
Tsubulata_000451	NA	darkgrey
Tsubulata_000569	NA	purple
Tsubulata_000785	NA	purple
Tsubulata_000790	NA	purple
Tsubulata_000940	NA	purple
Tsubulata_001042	NA	purple
Tsubulata_001114	NA	darkgrey
Tsubulata_001322	NA	darkgrey
Tsubulata_001332	NA	purple
Tsubulata_001350	NA	purple
Tsubulata_001679	NA	purple
Tsubulata_001763	NA	purple
Tsubulata_001814	NA	purple
Tsubulata_001830	NA	darkgrey
Tsubulata_001893	NA	purple
Tsubulata_001916	NA	purple
Tsubulata_001981	NA	purple
Tsubulata_001991	NA	purple
Tsubulata_001992	NA	purple
Tsubulata_002002	NA	darkgrey
Tsubulata_002010	NA	purple
Tsubulata_002014	NA	purple
Tsubulata_002026	NA	purple
Tsubulata_002045	NA	purple
Tsubulata_002058	NA	darkgrey
Tsubulata_002059	NA	purple
Tsubulata_002073	NA	purple
Tsubulata_002075	NA	purple
Tsubulata_002121	NA	darkgrey
Tsubulata_002123	NA	darkgrey
Tsubulata_002131	NA	purple
Tsubulata_002157	NA	darkgrey
Tsubulata_002188	NA	darkgrey
Tsubulata_002229	NA	purple
Tsubulata_002230	NA	purple
Tsubulata_002244	NA	purple
Tsubulata_002487	NA	purple
Tsubulata_002494	NA	purple
Tsubulata_002614	NA	purple
Tsubulata_002691	NA	purple
Tsubulata_002696	NA	purple
Tsubulata_002706	NA	purple
Tsubulata_002721	NA	purple
Tsubulata_002834	NA	purple
Tsubulata_002860	NA	purple
Tsubulata_002943	NA	purple
Tsubulata_003036	NA	purple
Tsubulata_003051	NA	purple
Tsubulata_003170	NA	purple
Tsubulata_003179	NA	purple
Tsubulata_003181	NA	purple
Tsubulata_003196	NA	purple
Tsubulata_003202	NA	purple
Tsubulata_003211	NA	darkgrey
Tsubulata_003248	NA	purple
Tsubulata_003441	NA	darkgrey
Tsubulata_003442	NA	purple
Tsubulata_003534	NA	darkgrey
Tsubulata_003578	NA	darkgrey
Tsubulata_003582	NA	purple
Tsubulata_003584	NA	purple
Tsubulata_003590	NA	darkgrey
Tsubulata_003826	NA	purple
Tsubulata_003854	NA	purple
Tsubulata_003926	NA	purple
Tsubulata_004048	NA	purple
Tsubulata_004052	NA	purple
Tsubulata_004071	NA	purple
Tsubulata_004135	NA	purple
Tsubulata_004160	NA	darkgrey
Tsubulata_004210	NA	purple
Tsubulata_004231	NA	purple
Tsubulata_004272	NA	purple
Tsubulata_004290	NA	darkgrey
Tsubulata_004303	NA	purple
Tsubulata_004361	NA	purple
Tsubulata_004370	NA	darkgrey
Tsubulata_004388	NA	purple
Tsubulata_004401	NA	purple
Tsubulata_004413	NA	purple
Tsubulata_004433	NA	darkgrey
Tsubulata_004464	NA	purple
Tsubulata_004518	NA	purple
Tsubulata_004606	NA	purple
Tsubulata_004669	NA	purple
Tsubulata_004724	NA	purple
Tsubulata_004737	NA	purple
Tsubulata_004801	NA	darkgrey
