number	feature	id	pval	ScvWtSmorphqval
2	gene	MK814806.1:160744..162263	NA	NA
3	gene	MK814806.1:165250..166387	NA	NA
4	gene	MK814808.1:17956..18382	NA	NA
5	gene	MK890302.1:21835..21972	0.959230944551381	0.974379386537709
6	gene	MK890302.1:304670..304831	0.775286267382161	0.868213416107581
7	gene	MK890303.1:322420..322644	0.01337741063193	0.0990504673520268
8	gene	Tsubulata_000001	0.13206320351644	0.279617073551545
9	gene	Tsubulata_000003	0.612665041203486	0.744320582212972
10	gene	Tsubulata_000005	0.112052267951493	0.259240626350681
11	gene	Tsubulata_000006	0.0851536283625435	0.221344543589212
12	gene	Tsubulata_000008	NA	NA
13	gene	Tsubulata_000009	NA	NA
14	gene	Tsubulata_000010	NA	NA
15	gene	Tsubulata_000012	0.612665041203486	0.744320582212972
16	gene	Tsubulata_000013	0.000903077474609271	0.0495503152579147
17	gene	Tsubulata_000014	0.870847218044362	0.925619412476215
18	gene	Tsubulata_000017	0.301457543818811	0.472900668537193
19	gene	Tsubulata_000018	0.993903269020704	0.996088402623675
20	gene	Tsubulata_000019	NA	NA
21	gene	Tsubulata_000021	NA	NA
22	gene	Tsubulata_000022	NA	NA
23	gene	Tsubulata_000025	0.154597054063424	0.308651069199524
24	gene	Tsubulata_000026	0.131925260480685	0.279428362325201
25	gene	Tsubulata_000027	0.0104243312106609	0.0914210795300494
26	gene	Tsubulata_000028	0.0890764040749478	0.227065820985703
27	gene	Tsubulata_000030	0.00159790007121119	0.0566271557207473
28	gene	Tsubulata_000033	0.631296678752121	0.758387857734358
29	gene	Tsubulata_000034	0.20168268188608	0.364074049282818
30	gene	Tsubulata_000036	0.290145456044547	0.461465747913216
31	gene	Tsubulata_000037	0.624019174240386	0.752663679300929
32	gene	Tsubulata_000038	0.0188195153301116	0.112750404844889
33	gene	Tsubulata_000039	0.040019678879653	0.148019894916068
34	gene	Tsubulata_000040	0.856659360469549	0.916494394371733
35	gene	Tsubulata_000041	0.20252032216086	0.364863702671284
36	gene	Tsubulata_000042	0.872736416296949	0.92721335123528
37	gene	Tsubulata_000043	0.116463320063298	0.265531466199533
38	gene	Tsubulata_000044	0.00788336273233059	0.0840098855067039
39	gene	Tsubulata_000045	0.122105146047548	0.273476442811393
40	gene	Tsubulata_000046	0.0816205353865341	0.215592899699121
41	gene	Tsubulata_000047	NA	NA
42	gene	Tsubulata_000048	0.698204002342758	0.809367003434424
43	gene	Tsubulata_000049	0.063453694637587	0.188776571335124
44	gene	Tsubulata_000051	0.0130311969232992	0.0980212767023593
45	gene	Tsubulata_000054	0.541559732513844	0.696167721082037
46	gene	Tsubulata_000058	NA	NA
47	gene	Tsubulata_000059	NA	NA
48	gene	Tsubulata_000060	0.652542547100094	0.775030567552641
49	gene	Tsubulata_000061	NA	NA
50	gene	Tsubulata_000062	0.00434816756732448	0.0716235080276724
51	gene	Tsubulata_000063	0.0683609135730161	0.196544586032516
52	gene	Tsubulata_000065	0.437144887086247	0.606369725296786
53	gene	Tsubulata_000066	0.0159656724751387	0.105102874085498
54	gene	Tsubulata_000067	0.0352348269461342	0.141668749804752
55	gene	Tsubulata_000068	0.126425854705734	0.27617554063716
56	gene	Tsubulata_000069	0.471758899462391	0.636258051595325
57	gene	Tsubulata_000072	0.00984677589109606	0.0901053786689613
58	gene	Tsubulata_000073	0.0308975152212141	0.13803731774529
59	gene	Tsubulata_000074	0.0514029120005519	0.168495804555194
60	gene	Tsubulata_000075	0.0133514253800463	0.0988929843850904
61	gene	Tsubulata_000076	NA	NA
