ID	2024 Tjoelii S-morph Mature Bud Average expression	2024 Tjoelii SC mutant (S) Mature Bud Average expression	2024 Tjoelii L-morph Mature Bud Average expression
MK814806.1:160744..162263	0	0	0
MK814806.1:165250..166387	0	0	0
MK814808.1:17956..18382	0	0	0
MK890302.1:21835..21972	1.368065	0.79182	1.605084333
MK890302.1:304670..304831	246.1799523	508.009537	581.1720787
MK890303.1:322420..322644	221.1168367	130.6764835	310.06543
Tsubulata_000001	22.680112	26.528412	22.25291633
Tsubulata_000003	0.072278	0	0
Tsubulata_000005	69.91127	65.7082745	51.547737
Tsubulata_000006	63.58756133	35.585606	39.41018167
Tsubulata_000008	0	0	0
Tsubulata_000009	0	0	0
Tsubulata_000010	0	0	0
Tsubulata_000012	0	0	0.009772
Tsubulata_000013	588.2826943	542.3829955	964.5880127
Tsubulata_000014	26.60425433	21.4523925	41.987718
Tsubulata_000017	1.503416667	2.929419	2.712979667
Tsubulata_000018	3.344548667	1.148835	3.424695
Tsubulata_000019	0	0	7.752429667
Tsubulata_000021	0	0	0
Tsubulata_000022	0	0	0
Tsubulata_000025	0.043024	0	0
Tsubulata_000026	458.0256957	394.542755	524.829427
Tsubulata_000027	5.254044333	5.7250925	4.013241
Tsubulata_000028	0.520865667	0.6848345	0.506983
Tsubulata_000030	48.15228133	58.4975395	41.011388
Tsubulata_000033	42.148804	20.8905185	17.30092267
Tsubulata_000034	87.58396267	49.637659	49.08262367
Tsubulata_000036	9.971862667	12.6975025	14.80139067
Tsubulata_000037	0.033350667	0.1398395	0.055327
Tsubulata_000038	60.009514	68.3833125	58.500473
Tsubulata_000039	169.8290657	181.2534945	140.6886697
Tsubulata_000040	5.525419667	8.5047145	4.391608333
Tsubulata_000041	0.481708667	5.2518395	0.253416667
Tsubulata_000042	46.611847	56.9167045	42.88193367
Tsubulata_000043	0	1.1980415	0.097887667
Tsubulata_000044	11.413163	27.8201485	10.31361067
Tsubulata_000045	27.69127033	24.544753	37.57549667
Tsubulata_000046	169.7102713	118.663002	160.1846923
Tsubulata_000047	0	0	0
Tsubulata_000048	3.934312333	5.6874135	5.080133667
Tsubulata_000049	110.4912263	88.567303	122.8715083
Tsubulata_000051	1.432191333	5.1081045	4.578105333
Tsubulata_000054	8.149113667	11.6402885	7.362338333
Tsubulata_000058	0	0	0
Tsubulata_000059	0	0	0
Tsubulata_000060	63.685637	93.7303085	58.33860167
Tsubulata_000061	0	0	0
Tsubulata_000062	28.84852967	24.8593575	26.26453633
Tsubulata_000063	7.351461	10.2906155	7.247053333
Tsubulata_000065	1.132843	0.8456325	0.590334
Tsubulata_000066	10.68182633	27.050598	8.421791667
Tsubulata_000067	76.06528	60.2688885	132.6854577
Tsubulata_000068	33.966899	49.3426075	33.01429267
Tsubulata_000069	16.56122533	28.5306605	15.90447833
Tsubulata_000072	18.218284	11.268588	21.360368
Tsubulata_000073	19.170283	11.1867305	15.19463433
Tsubulata_000074	9.493523	11.5198785	6.810555333
Tsubulata_000075	288.2112527	216.4636385	334.0499673
Tsubulata_000076	0	0	0
Tsubulata_000077	1.226229	2.6179	0.671052667
Tsubulata_000078	233.0481617	225.1705705	319.602112
Tsubulata_000079	11.80140067	15.450269	11.18998267
Tsubulata_000080	1.168451333	3.342344	0.826039667
Tsubulata_000081	24.79705067	18.215357	36.66543833
Tsubulata_000082	87.31623833	99.219925	99.63197833
Tsubulata_000085	58.6953	42.0346225	15.84734733
Tsubulata_000086	449.238424	394.3708955	383.9427897
Tsubulata_000087	0	0	0
Tsubulata_000089	0	0	0
Tsubulata_000090	49.746502	40.723198	26.00029867
Tsubulata_000091	0	0	0
Tsubulata_000092	11.404608	14.213342	9.022851333
Tsubulata_000093	56.655557	56.265007	61.50653333
Tsubulata_000094	0.676851333	1.7546345	1.677887667
Tsubulata_000096	5.303402667	7.721805	4.128364667
Tsubulata_000097	10.83703467	18.8901855	14.418144
Tsubulata_000098	0.858939667	2.463386	1.891336333
Tsubulata_000099	314.1836857	245.49427	286.1865437
Tsubulata_000100	4.56514	6.3508875	4.280191
Tsubulata_000101	0	0	0
Tsubulata_000102	0	0	0
Tsubulata_000103	0	0	0
Tsubulata_000104	0	0	0
Tsubulata_000105	16.13332533	20.7114665	13.59076467
Tsubulata_000107	10.25889667	13.177291	14.492391
Tsubulata_000108	0.347237333	1.7918435	0.230324333
Tsubulata_000109	7.553871667	11.569362	10.57227267
Tsubulata_000110	220.7533823	160.8752975	127.2236253
Tsubulata_000111	1.645103	0.9561105	0.231961333
Tsubulata_000112	51.729253	57.12323	27.568133
Tsubulata_000113	10.10933833	14.511535	6.559101333
Tsubulata_000114	115.6434807	84.9443475	104.882777
Tsubulata_000116	4.850635667	5.1155775	2.813841667
Tsubulata_000117	0.609836333	2.736234	0.479524333
Tsubulata_000118	45.920826	61.0184535	51.749077
Tsubulata_000120	0	0	0
Tsubulata_000124	31.50802433	49.16399	50.63808167
Tsubulata_000126	0	0	0
Tsubulata_000129	1.318514333	1.3520035	0.566899333
Tsubulata_000130	0.462839333	0	1.443583333
Tsubulata_000131	85.18144233	99.8188665	105.039871
Tsubulata_000133	230.9757233	263.582291	212.835439
Tsubulata_000134	62.12337733	66.452637	55.280846
Tsubulata_000135	7.551209	16.982424	4.932365
Tsubulata_000136	60.70949067	53.3723525	60.226368
Tsubulata_000139	0	0.166862	0
Tsubulata_000140	7.416503	6.647792	5.826860667
Tsubulata_000141	0.535517667	0.812365	0.395992333
Tsubulata_000142	12.78137967	14.668857	16.838636
Tsubulata_000143	0	0	0
Tsubulata_000144	21.33541367	31.558279	23.854926
Tsubulata_000145	0	0	0.829190333
Tsubulata_000146	22.686585	34.7785235	10.23109033
Tsubulata_000147	1528.241048	1428.769226	1105.202311
Tsubulata_000148	0	0	0
Tsubulata_000149	10.02404133	11.2390325	14.95793033
Tsubulata_000151	0	0	0
Tsubulata_000152	12.18960967	0	28.543254
Tsubulata_000156	102.196012	71.5079	119.1963933
Tsubulata_000157	0.089612333	0	0
Tsubulata_000162	0	0	0
Tsubulata_000163	4.596200333	6.889378	4.528907667
Tsubulata_000165	2.368940667	0.907759	1.475483
Tsubulata_000166	32.80908133	33.127209	33.48638267
Tsubulata_000170	0	0	0
Tsubulata_000173	13.05626833	15.208132	21.61291333
Tsubulata_000175	54.40978133	55.1365815	53.31887533
