Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-Tsubulata_014469	-	JAKUCV010000001.1	+	7571	10654	116.234985	35.524891	71.488983
gene-Tsubulata_014470	-	JAKUCV010000001.1	-	12003	12605	81.804314	25.001848	50.312798
gene-Tsubulata_014471	-	JAKUCV010000001.1	+	17520	20265	1.898637	0.580280	1.167735
gene-Tsubulata_014472	AVT6E	JAKUCV010000001.1	-	23234	24730	100.725449	30.784714	61.950024
gene-Tsubulata_014473	TPR1_1	JAKUCV010000001.1	+	38818	46841	161.185776	49.263199	99.135452
gene-Tsubulata_014476	-	JAKUCV010000001.1	-	63970	70364	148.653793	45.433052	91.427795
gene-Tsubulata_014478	-	JAKUCV010000001.1	+	75982	80274	106.021912	32.403473	65.207550
gene-Tsubulata_014484	-	JAKUCV010000001.1	-	93753	94982	0.238211	0.072804	0.146509
gene-Tsubulata_014480	-	JAKUCV010000001.1	+	83031	86287	0.955718	0.292096	0.587803
gene-Tsubulata_014481	-	JAKUCV010000001.1	-	85922	86521	16.537748	5.054431	10.171350
gene-Tsubulata_014479	RPL8_2	JAKUCV010000001.1	+	80839	82785	896.358643	273.954041	551.295044
gene-Tsubulata_014485	RH35_2	JAKUCV010000001.1	+	96128	97891	268.249725	81.985153	164.983902
gene-Tsubulata_014486	-	JAKUCV010000001.1	-	100546	102341	73.084747	22.336887	44.949928
gene-Tsubulata_014487	-	JAKUCV010000001.1	+	103446	104969	16.983004	5.190515	10.445201
gene-Tsubulata_014488	TYRAAT2_1	JAKUCV010000001.1	-	106487	107653	100.405312	30.686871	61.753128
gene-Tsubulata_014489	-	JAKUCV010000001.1	-	109363	113989	1026.882690	313.846100	631.572327
gene-Tsubulata_014494	-	JAKUCV010000001.1	+	153274	153894	12.169082	3.719236	7.484453
gene-Tsubulata_014491	-	JAKUCV010000001.1	+	128028	130847	114.996758	35.146454	70.727432
gene-Tsubulata_014492	-	JAKUCV010000001.1	-	130827	133700	1.030637	0.314994	0.633881
gene-Tsubulata_014495	-	JAKUCV010000001.1	-	155799	168533	39.048557	11.934408	24.016363
gene-Tsubulata_014498	-	JAKUCV010000001.1	+	176012	180405	25.143944	7.684742	15.464493
gene-Tsubulata_028724	-	JAKUCV010000002.1	+	4788	9310	35.749226	10.926034	21.987148
gene-Tsubulata_028725	-	JAKUCV010000002.1	+	10192	12050	60.058929	18.355808	36.938549
gene-Tsubulata_028726	-	JAKUCV010000002.1	-	14811	15653	18.743771	5.728658	11.528139
gene-Tsubulata_028727	MYB26	JAKUCV010000002.1	-	15884	16322	12.895131	3.941138	7.931002
gene-Tsubulata_028728	-	JAKUCV010000002.1	-	25545	27792	12.412128	3.793518	7.633936
gene-Tsubulata_028729	-	JAKUCV010000002.1	+	28654	29190	29.960396	9.156795	18.426796
gene-Tsubulata_028730	-	JAKUCV010000002.1	+	30706	33998	15.361309	4.694876	9.447796
gene-Tsubulata_028731	COAC1_2	JAKUCV010000002.1	-	33129	36401	0.537120	0.164160	0.330349
gene-Tsubulata_028732	-	JAKUCV010000002.1	+	36609	40060	126.873512	38.776344	78.032089
gene-Tsubulata_028735	ALA4	JAKUCV010000002.1	+	52469	59000	32.044773	9.793842	19.708769
gene-Tsubulata_028742	PDAT1_3	JAKUCV010000002.1	+	88879	89539	38.517273	11.772032	23.689604
gene-Tsubulata_022997	-	JAKUCV010000003.1	-	101744	104002	0.000000	0.000000	0.000000
gene-Tsubulata_022991	-	JAKUCV010000003.1	-	74040	84113	0.000000	0.000000	0.000000
gene-Tsubulata_028736	CKL2_2	JAKUCV010000002.1	+	59760	64314	186.751999	57.077003	114.859665
gene-Tsubulata_022990	-	JAKUCV010000003.1	+	46482	73099	0.236001	0.072129	0.145150
gene-Tsubulata_947192	-	JAKUCV010000005.1	+	3280	5626	7.022988	2.146435	4.319407
gene-Tsubulata_047192	-	JAKUCV010000005.1	+	14101	21544	21.891441	6.690680	13.464079
gene-Tsubulata_047193	-	JAKUCV010000005.1	+	23066	23386	33.940811	10.373328	20.874905
gene-Tsubulata_047738	-	JAKUCV010000006.1	+	14196	18843	9.728493	2.973319	5.983397
gene-Tsubulata_047739	-	JAKUCV010000006.1	-	14206	16292	0.201801	0.061676	0.124115
gene-Tsubulata_012426	-	JAKUCV010000008.1	+	2234	5394	81.859367	25.018675	50.346661
gene-Tsubulata_012427	-	JAKUCV010000008.1	+	6519	16398	102.360588	31.284462	62.955700
gene-Tsubulata_024720	-	JAKUCV010000012.1	-	27876	29326	0.000000	0.000000	0.000000
gene-Tsubulata_024728	-	JAKUCV010000012.1	-	109399	111504	0.379098	0.115864	0.233160
gene-Tsubulata_012428	LOS1_1	JAKUCV010000008.1	+	17974	21688	1060.668579	324.172089	652.351990
gene-Tsubulata_012429	-	JAKUCV010000008.1	+	24377	35529	0.000000	0.000000	0.000000
gene-Tsubulata_012430	-	JAKUCV010000008.1	+	35657	42787	0.000000	0.000000	0.000000
gene-Tsubulata_012431	LOS1_2	JAKUCV010000008.1	-	47695	51839	775.065125	236.883102	476.694885
gene-Tsubulata_012432	-	JAKUCV010000008.1	+	61168	64442	70.208885	21.457939	43.181168
gene-Tsubulata_012433	-	JAKUCV010000008.1	+	65214	65783	0.000000	0.000000	0.000000
gene-Tsubulata_012434	-	JAKUCV010000008.1	-	70645	75065	4.964232	1.517218	3.053194
gene-Tsubulata_012435	-	JAKUCV010000008.1	-	80304	87409	18.387209	5.619681	11.308840
gene-Tsubulata_012436	-	JAKUCV010000008.1	-	96005	97429	46.000702	14.059192	28.292200
gene-Tsubulata_012438	-	JAKUCV010000008.1	-	99984	107249	27.052580	8.268079	16.638376
gene-Tsubulata_012439	-	JAKUCV010000008.1	+	114666	118830	53.165771	16.249052	32.698994
gene-Tsubulata_012440	EIF62	JAKUCV010000008.1	+	122256	124796	299.478180	91.529503	184.190598
gene-Tsubulata_012441	MPT1_1	JAKUCV010000008.1	-	124854	127843	19.964870	6.101862	12.279162
gene-Tsubulata_012443	-	JAKUCV010000008.1	-	128995	133646	0.000000	0.000000	0.000000
gene-Tsubulata_012444	-	JAKUCV010000008.1	+	135403	139678	22.544718	6.890341	13.865869
gene-Tsubulata_012445	-	JAKUCV010000008.1	+	140548	143492	48.257584	14.748963	29.680269
gene-Tsubulata_012447	-	JAKUCV010000008.1	-	144640	145272	5.870458	1.794188	3.610557
gene-Tsubulata_012448	MLO10	JAKUCV010000008.1	-	149466	155491	34.490921	10.541458	21.213242
gene-Tsubulata_012450	-	JAKUCV010000008.1	-	164849	167135	1.744556	0.533189	1.072969
gene-Tsubulata_048616	-	JAKUCV010000011.1	+	12701	18793	197.841766	60.466370	121.680290
gene-Tsubulata_032635	-	JAKUCV010000014.1	-	253	16658	14.854094	4.539856	9.135839
gene-Tsubulata_032642	-	JAKUCV010000014.1	-	45441	48398	0.201175	0.061485	0.123730
gene-Tsubulata_032638	ARF9	JAKUCV010000014.1	-	24341	29168	216.555069	66.185715	133.189697
gene-Tsubulata_032643	KAS1_2	JAKUCV010000014.1	-	49615	52454	172.258850	52.647465	105.945816
gene-Tsubulata_032644	-	JAKUCV010000014.1	+	55238	58078	60.141090	18.380919	36.989082
gene-Tsubulata_032646	-	JAKUCV010000014.1	-	71469	72569	34.804722	10.637366	21.406240
gene-Tsubulata_044608	-	JAKUCV010000015.1	-	13831	18171	23.558842	7.200288	14.489594
gene-Tsubulata_034336	-	JAKUCV010000016.1	+	6889	14678	35.172886	10.749887	21.632677
gene-Tsubulata_034337	-	JAKUCV010000016.1	-	15339	16591	10.395498	3.177176	6.393631
gene-Tsubulata_034338	-	JAKUCV010000016.1	+	16932	19523	75.107468	22.955091	46.193977
gene-Tsubulata_034340	-	JAKUCV010000016.1	+	25632	25990	3.773809	1.153389	2.321038
gene-Tsubulata_034339	-	JAKUCV010000016.1	-	19999	24621	34.850063	10.651223	21.434130
gene-Tsubulata_034341	-	JAKUCV010000016.1	+	26472	29167	167.689880	51.251049	103.135727
gene-Tsubulata_034343	MTM1_2	JAKUCV010000016.1	-	36078	47311	26.406776	8.070702	16.241182
gene-Tsubulata_034345	-	JAKUCV010000016.1	-	51177	52896	32.411488	9.905922	19.934311
gene-Tsubulata_034347	-	JAKUCV010000016.1	+	64056	67363	21.065575	6.438271	12.956138
gene-Tsubulata_044160	-	JAKUCV010000021.1	-	151	751	6.340824	1.937946	3.899851
gene-Tsubulata_034348	CSLA9_2	JAKUCV010000016.1	+	69939	74271	6.924514	2.116339	4.258842
gene-Tsubulata_042703	-	JAKUCV010000024.1	+	24615	25480	0.000000	0.000000	0.000000
gene-Tsubulata_042704	-	JAKUCV010000024.1	-	26108	28949	1.010969	0.308982	0.621785
gene-Tsubulata_042706	-	JAKUCV010000024.1	-	33271	43869	3.631492	1.109893	2.233507
gene-Tsubulata_041804	-	JAKUCV010000026.1	+	3492	7772	33.563469	10.258001	20.642824
gene-Tsubulata_041807	-	JAKUCV010000026.1	-	14086	17234	5.709993	1.745145	3.511865
gene-Tsubulata_041808	-	JAKUCV010000026.1	+	19841	23766	5.077309	1.551778	3.122740
gene-Tsubulata_041809	PAPS4_2	JAKUCV010000026.1	+	26875	32273	58.887531	17.997793	36.218098
gene-Tsubulata_041810	HXK1_2	JAKUCV010000026.1	+	32274	37798	71.923538	21.981987	44.235741
gene-Tsubulata_041811	-	JAKUCV010000026.1	-	33419	33707	0.000000	0.000000	0.000000
gene-Tsubulata_041812	-	JAKUCV010000026.1	-	44367	48630	193.244766	59.061390	118.852966
gene-Tsubulata_019453	-	JAKUCV010000028.1	+	35354	39244	1.849585	0.565289	1.137566
gene-Tsubulata_019451	STY46	JAKUCV010000028.1	+	8975	14947	51.916733	15.867309	31.930786
gene-Tsubulata_019454	-	JAKUCV010000028.1	+	39862	52157	8.050924	2.460604	4.951628
gene-Tsubulata_019459	-	JAKUCV010000028.1	+	121824	124940	1.320779	0.403670	0.812330
gene-Tsubulata_019456	-	JAKUCV010000028.1	-	53163	55119	4.080584	1.247149	2.509716
gene-Tsubulata_019460	-	JAKUCV010000028.1	+	125471	128408	116.090675	35.480785	71.400230
gene-Tsubulata_019461	-	JAKUCV010000028.1	-	129542	133335	28.715319	8.776261	17.661024
gene-Tsubulata_019462	-	JAKUCV010000028.1	-	142429	144672	14.851762	4.539143	9.134405
gene-Tsubulata_024731	-	JAKUCV010000032.1	-	29884	35730	83.966507	25.662680	51.642628
gene-Tsubulata_042886	-	JAKUCV010000034.1	+	7877	13678	12.090076	3.695089	7.435862
gene-Tsubulata_042887	-	JAKUCV010000034.1	-	15473	16066	29.900673	9.138541	18.390062
gene-Tsubulata_047531	-	JAKUCV010000035.1	-	1087	3973	0.297409	0.090897	0.182918
gene-Tsubulata_842888	-	JAKUCV010000034.1	-	28011	32862	12.318216	3.764816	7.576177
gene-Tsubulata_047532	BRIZ2	JAKUCV010000035.1	-	6417	10788	20.250221	6.189074	12.454665
gene-Tsubulata_047535	-	JAKUCV010000035.1	+	19581	21964	0.000000	0.000000	0.000000
gene-Tsubulata_047533	-	JAKUCV010000035.1	-	11188	16979	35.004818	10.698521	21.529308
gene-Tsubulata_047534	-	JAKUCV010000035.1	+	14962	16335	0.000000	0.000000	0.000000
gene-Tsubulata_043458	-	JAKUCV010000036.1	+	11225	12785	1.300542	0.397485	0.799883
gene-Tsubulata_043457	UBC28_2	JAKUCV010000036.1	+	5033	7685	157.468033	48.126945	96.848892
gene-Tsubulata_043460	MTM1_3	JAKUCV010000036.1	+	18351	22126	10.427249	3.186879	6.413159
gene-Tsubulata_043461	-	JAKUCV010000036.1	-	22265	23489	111.633209	34.118454	68.658714
gene-Tsubulata_043464	-	JAKUCV010000036.1	-	39905	40996	0.000000	0.000000	0.000000
gene-Tsubulata_043465	-	JAKUCV010000036.1	+	43033	43905	0.396711	0.121247	0.243993
gene-Tsubulata_043462	TUBG1	JAKUCV010000036.1	-	24400	29620	44.541355	13.613172	27.394648
gene-Tsubulata_011931	-	JAKUCV010000038.1	-	68009	73162	0.000000	0.000000	0.000000
gene-Tsubulata_011929	-	JAKUCV010000038.1	-	50875	65673	34.719776	10.611403	21.353998
gene-Tsubulata_011930	-	JAKUCV010000038.1	+	60377	62132	8.736312	2.670079	5.373168
gene-Tsubulata_011932	-	JAKUCV010000038.1	+	75084	78865	14.359457	4.388680	8.831618
gene-Tsubulata_011936	SUMO2_1	JAKUCV010000038.1	+	143217	145671	292.955566	89.535988	180.178925
gene-Tsubulata_011938	ERD2_2	JAKUCV010000038.1	-	147667	150626	21.405233	6.542080	13.165042
gene-Tsubulata_011942	PAP15_2	JAKUCV010000038.1	+	193651	197537	3.123926	0.954765	1.921335
gene-Tsubulata_011941	-	JAKUCV010000038.1	+	187906	191706	46.112423	14.093338	28.360914
gene-Tsubulata_050265	DTX55	JAKUCV010000039.1	+	5433	8174	0.573764	0.175359	0.352887
gene-Tsubulata_011943	-	JAKUCV010000038.1	-	198679	199803	65.437332	19.999609	40.246475
gene-Tsubulata_019403	MTP1_3	JAKUCV010000041.1	-	52366	54656	0.995510	0.304258	0.612277
gene-Tsubulata_019407	XBAT31_1	JAKUCV010000041.1	-	108328	109016	21.507500	6.573336	13.227940
gene-Tsubulata_039497	-	JAKUCV010000045.1	-	17029	20401	0.136009	0.041568	0.083651
gene-Tsubulata_026235	-	JAKUCV010000046.1	+	17333	24601	6.459318	1.974161	3.972729
gene-Tsubulata_026236	-	JAKUCV010000046.1	-	27058	30858	11.613186	3.549337	7.142556
gene-Tsubulata_026237	-	JAKUCV010000046.1	+	27068	27370	0.000000	0.000000	0.000000
gene-Tsubulata_026238	-	JAKUCV010000046.1	+	33531	39565	15.060253	4.602864	9.262634
gene-Tsubulata_026239	-	JAKUCV010000046.1	-	39548	43642	6.110968	1.867695	3.758480
gene-Tsubulata_026241	-	JAKUCV010000046.1	-	51987	55967	13.211499	4.037830	8.125580
gene-Tsubulata_026242	-	JAKUCV010000046.1	+	56590	61119	7.377172	2.254685	4.537244
gene-Tsubulata_026243	-	JAKUCV010000046.1	-	61123	66161	6.418901	1.961808	3.947871
gene-Tsubulata_026245	-	JAKUCV010000046.1	+	69860	77472	65.959976	20.159344	40.567921
