Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-Tsubulata_014469	-	JAKUCV010000001.1	+	7571	10654	66.940521	22.832634	48.535961
gene-Tsubulata_014470	-	JAKUCV010000001.1	-	12003	12605	40.343285	13.760626	29.251343
gene-Tsubulata_014471	-	JAKUCV010000001.1	+	17520	20265	2.517888	0.858822	1.825622
gene-Tsubulata_014472	AVT6E	JAKUCV010000001.1	-	23234	24730	161.781570	55.181808	117.301506
gene-Tsubulata_014473	TPR1_1	JAKUCV010000001.1	+	38818	46841	222.329910	75.834145	161.202744
gene-Tsubulata_014475	-	JAKUCV010000001.1	+	62023	63657	0.091743	0.031292	0.066519
gene-Tsubulata_014476	-	JAKUCV010000001.1	-	63970	70364	155.547562	53.055466	112.781479
gene-Tsubulata_014478	-	JAKUCV010000001.1	+	75982	80274	69.105019	23.570917	50.105354
gene-Tsubulata_014483	-	JAKUCV010000001.1	+	89245	93457	0.000000	0.000000	0.000000
gene-Tsubulata_014480	-	JAKUCV010000001.1	+	83031	86287	2.398026	0.817939	1.738715
gene-Tsubulata_014481	-	JAKUCV010000001.1	-	85922	86521	4.419224	1.507346	3.204207
gene-Tsubulata_014479	RPL8_2	JAKUCV010000001.1	+	80839	82785	416.774445	142.156921	302.186890
gene-Tsubulata_014485	RH35_2	JAKUCV010000001.1	+	96128	97891	213.016434	72.657425	154.449905
gene-Tsubulata_014486	-	JAKUCV010000001.1	-	100546	102341	88.357819	30.137825	64.064804
gene-Tsubulata_014487	-	JAKUCV010000001.1	+	103446	104969	6.515581	2.222389	4.724194
gene-Tsubulata_014488	TYRAAT2_1	JAKUCV010000001.1	-	106487	107653	36.415596	12.420936	26.403528
gene-Tsubulata_014490	NIP12_2	JAKUCV010000001.1	+	121341	122926	0.000000	0.000000	0.000000
gene-Tsubulata_014494	-	JAKUCV010000001.1	+	153274	153894	0.602254	0.205422	0.436671
gene-Tsubulata_014491	-	JAKUCV010000001.1	+	128028	130847	47.568954	16.225216	34.490395
gene-Tsubulata_014492	-	JAKUCV010000001.1	-	130827	133700	0.000000	0.000000	0.000000
gene-Tsubulata_014489	-	JAKUCV010000001.1	-	109363	113989	1468.255127	500.804749	1064.574585
gene-Tsubulata_014495	-	JAKUCV010000001.1	-	155799	168533	38.943176	13.283064	28.236179
gene-Tsubulata_014498	-	JAKUCV010000001.1	+	176012	180405	14.260332	4.864034	10.339611
gene-Tsubulata_028724	-	JAKUCV010000002.1	+	4788	9310	99.744469	34.021675	72.320831
gene-Tsubulata_028725	-	JAKUCV010000002.1	+	10192	12050	33.278183	11.350801	24.128712
gene-Tsubulata_028726	-	JAKUCV010000002.1	-	14811	15653	2.169632	0.740036	1.573116
gene-Tsubulata_028727	MYB26	JAKUCV010000002.1	-	15884	16322	2.823970	0.963223	2.047550
gene-Tsubulata_028728	-	JAKUCV010000002.1	-	25545	27792	2.381807	0.812407	1.726955
gene-Tsubulata_028729	-	JAKUCV010000002.1	+	28654	29190	23.171618	7.903569	16.800837
gene-Tsubulata_028730	-	JAKUCV010000002.1	+	30706	33998	1.266246	0.431902	0.918106
gene-Tsubulata_028731	COAC1_2	JAKUCV010000002.1	-	33129	36401	3.049642	1.040197	2.211177
gene-Tsubulata_028732	-	JAKUCV010000002.1	+	36609	40060	76.016373	25.928299	55.116512
gene-Tsubulata_028735	ALA4	JAKUCV010000002.1	+	52469	59000	121.285210	41.368973	87.939178
gene-Tsubulata_028737	-	JAKUCV010000002.1	+	64702	65018	0.000000	0.000000	0.000000
gene-Tsubulata_028742	PDAT1_3	JAKUCV010000002.1	+	88879	89539	27.521112	9.387131	19.954485
gene-Tsubulata_022997	-	JAKUCV010000003.1	-	101744	104002	0.000000	0.000000	0.000000
gene-Tsubulata_022991	-	JAKUCV010000003.1	-	74040	84113	0.000000	0.000000	0.000000
gene-Tsubulata_023000	-	JAKUCV010000003.1	-	114500	123440	0.000000	0.000000	0.000000
gene-Tsubulata_022990	-	JAKUCV010000003.1	+	46482	73099	0.524842	0.179018	0.380542
gene-Tsubulata_947192	-	JAKUCV010000005.1	+	3280	5626	2.550840	0.870062	1.849515
gene-Tsubulata_028736	CKL2_2	JAKUCV010000002.1	+	59760	64314	283.339844	96.643929	205.438675
gene-Tsubulata_047193	-	JAKUCV010000005.1	+	23066	23386	27.394081	9.343802	19.862381
gene-Tsubulata_047192	-	JAKUCV010000005.1	+	14101	21544	30.737755	10.484290	22.286747
gene-Tsubulata_047738	-	JAKUCV010000006.1	+	14196	18843	4.278587	1.459376	3.102237
gene-Tsubulata_047739	-	JAKUCV010000006.1	-	14206	16292	0.000000	0.000000	0.000000
gene-Tsubulata_012426	-	JAKUCV010000008.1	+	2234	5394	54.152458	18.470774	39.263836
gene-Tsubulata_012427	-	JAKUCV010000008.1	+	6519	16398	84.256271	28.738832	61.090939
gene-Tsubulata_012430	-	JAKUCV010000008.1	+	35657	42787	0.000000	0.000000	0.000000
gene-Tsubulata_012428	LOS1_1	JAKUCV010000008.1	+	17974	21688	822.722351	280.621033	596.523926
gene-Tsubulata_012431	LOS1_2	JAKUCV010000008.1	-	47695	51839	659.665833	225.004349	478.298004
gene-Tsubulata_012432	-	JAKUCV010000008.1	+	61168	64442	58.982700	20.118313	42.766056
gene-Tsubulata_012433	-	JAKUCV010000008.1	+	65214	65783	0.000000	0.000000	0.000000
gene-Tsubulata_012434	-	JAKUCV010000008.1	-	70645	75065	9.856299	3.361869	7.146418
gene-Tsubulata_012435	-	JAKUCV010000008.1	-	80304	87409	14.531065	4.956377	10.535909
gene-Tsubulata_012436	-	JAKUCV010000008.1	-	96005	97429	18.305437	6.243772	13.272559
gene-Tsubulata_012438	-	JAKUCV010000008.1	-	99984	107249	19.032078	6.491621	13.799417
gene-Tsubulata_012439	-	JAKUCV010000008.1	+	114666	118830	47.903469	16.339315	34.732937
gene-Tsubulata_012440	EIF62	JAKUCV010000008.1	+	122256	124796	161.585434	55.114910	117.159302
gene-Tsubulata_012441	MPT1_1	JAKUCV010000008.1	-	124854	127843	11.683567	3.985129	8.471299
gene-Tsubulata_012443	-	JAKUCV010000008.1	-	128995	133646	0.000000	0.000000	0.000000
gene-Tsubulata_012444	-	JAKUCV010000008.1	+	135403	139678	99.557426	33.957878	72.185204
gene-Tsubulata_012445	-	JAKUCV010000008.1	+	140548	143492	54.897285	18.724827	39.803879
gene-Tsubulata_012447	-	JAKUCV010000008.1	-	144640	145272	29.339653	10.007414	21.273039
gene-Tsubulata_012448	MLO10	JAKUCV010000008.1	-	149466	155491	43.698242	14.904962	31.683893
gene-Tsubulata_012450	-	JAKUCV010000008.1	-	164849	167135	1.389730	0.474021	1.007639
gene-Tsubulata_024718	-	JAKUCV010000012.1	-	1485	1838	0.408192	0.139230	0.295964
gene-Tsubulata_024720	-	JAKUCV010000012.1	-	27876	29326	0.000000	0.000000	0.000000
gene-Tsubulata_048616	-	JAKUCV010000011.1	+	12701	18793	302.941254	103.329735	219.650894
gene-Tsubulata_024728	-	JAKUCV010000012.1	-	109399	111504	122.276131	41.706966	88.657654
gene-Tsubulata_032635	-	JAKUCV010000014.1	-	253	16658	14.938100	5.095212	10.831034
gene-Tsubulata_032642	-	JAKUCV010000014.1	-	45441	48398	0.000000	0.000000	0.000000
gene-Tsubulata_032638	ARF9	JAKUCV010000014.1	-	24341	29168	85.162598	29.047972	61.748081
gene-Tsubulata_032643	KAS1_2	JAKUCV010000014.1	-	49615	52454	128.428116	43.805336	93.118217
gene-Tsubulata_032646	-	JAKUCV010000014.1	-	71469	72569	14.720255	5.020908	10.673083
gene-Tsubulata_032644	-	JAKUCV010000014.1	+	55238	58078	77.487404	26.430054	56.183094
gene-Tsubulata_044608	-	JAKUCV010000015.1	-	13831	18171	7.372247	2.514588	5.345329
gene-Tsubulata_034336	-	JAKUCV010000016.1	+	6889	14678	55.598427	18.963978	40.312252
gene-Tsubulata_034337	-	JAKUCV010000016.1	-	15339	16591	4.702036	1.603810	3.409263
gene-Tsubulata_034338	-	JAKUCV010000016.1	+	16932	19523	50.240120	17.136320	36.427151
gene-Tsubulata_034340	-	JAKUCV010000016.1	+	25632	25990	0.000000	0.000000	0.000000
gene-Tsubulata_034339	-	JAKUCV010000016.1	-	19999	24621	30.999685	10.573632	22.476664
gene-Tsubulata_034341	-	JAKUCV010000016.1	+	26472	29167	188.761139	64.384232	136.863342
gene-Tsubulata_034343	MTM1_2	JAKUCV010000016.1	-	36078	47311	28.024870	9.558957	20.319740
gene-Tsubulata_034345	-	JAKUCV010000016.1	-	51177	52896	27.741055	9.462152	20.113956
gene-Tsubulata_034347	-	JAKUCV010000016.1	+	64056	67363	17.950819	6.122815	13.015440
gene-Tsubulata_044160	-	JAKUCV010000021.1	-	151	751	1.567416	0.534627	1.136472
gene-Tsubulata_034348	CSLA9_2	JAKUCV010000016.1	+	69939	74271	9.601420	3.274933	6.961615
gene-Tsubulata_042703	-	JAKUCV010000024.1	+	24615	25480	7.267574	2.478885	5.269434
gene-Tsubulata_042704	-	JAKUCV010000024.1	-	26108	28949	0.764778	0.260857	0.554511
gene-Tsubulata_042706	-	JAKUCV010000024.1	-	33271	43869	3.053593	1.041545	2.214041
gene-Tsubulata_041807	-	JAKUCV010000026.1	-	14086	17234	0.686640	0.234205	0.497856
gene-Tsubulata_041808	-	JAKUCV010000026.1	+	19841	23766	3.551191	1.211270	2.574830
gene-Tsubulata_041804	-	JAKUCV010000026.1	+	3492	7772	435.248352	148.458160	315.581604
gene-Tsubulata_041809	PAPS4_2	JAKUCV010000026.1	+	26875	32273	84.212143	28.723783	61.058941
gene-Tsubulata_041810	HXK1_2	JAKUCV010000026.1	+	32274	37798	197.912445	67.505630	143.498596
gene-Tsubulata_041811	-	JAKUCV010000026.1	-	33419	33707	0.000000	0.000000	0.000000
gene-Tsubulata_041812	-	JAKUCV010000026.1	-	44367	48630	30.998974	10.573390	22.476147
gene-Tsubulata_019451	STY46	JAKUCV010000028.1	+	8975	14947	44.960724	15.335580	32.599270
gene-Tsubulata_019453	-	JAKUCV010000028.1	+	35354	39244	103.436790	35.281086	74.997986
gene-Tsubulata_019456	-	JAKUCV010000028.1	-	53163	55119	2.514873	0.857794	1.823436
gene-Tsubulata_019459	-	JAKUCV010000028.1	+	121824	124940	2.074026	0.707426	1.503796
gene-Tsubulata_019454	-	JAKUCV010000028.1	+	39862	52157	8.208790	2.799923	5.951874
gene-Tsubulata_019460	-	JAKUCV010000028.1	+	125471	128408	114.172211	38.942810	82.781815
gene-Tsubulata_019461	-	JAKUCV010000028.1	-	129542	133335	61.476330	20.968863	44.574089
gene-Tsubulata_019462	-	JAKUCV010000028.1	-	142429	144672	20.699270	7.060281	15.008234
gene-Tsubulata_024731	-	JAKUCV010000032.1	-	29884	35730	90.798340	30.970259	65.834335
gene-Tsubulata_042886	-	JAKUCV010000034.1	+	7877	13678	6.942110	2.367873	5.033453
gene-Tsubulata_042887	-	JAKUCV010000034.1	-	15473	16066	28.045454	9.565978	20.334665
