Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-Tsubulata_014469	-	JAKUCV010000001.1	+	7571	10654	30.042992	11.034346	23.036325
gene-Tsubulata_014470	-	JAKUCV010000001.1	-	12003	12605	26.245438	9.639560	20.124443
gene-Tsubulata_014471	-	JAKUCV010000001.1	+	17520	20265	0.911414	0.334749	0.698853
gene-Tsubulata_014472	AVT6E	JAKUCV010000001.1	-	23234	24730	211.030731	77.508461	161.813873
gene-Tsubulata_014473	TPR1_1	JAKUCV010000001.1	+	38818	46841	150.406479	55.242069	115.328484
gene-Tsubulata_014476	-	JAKUCV010000001.1	-	63970	70364	195.459869	71.789513	149.874466
gene-Tsubulata_014478	-	JAKUCV010000001.1	+	75982	80274	82.889587	30.444117	63.557964
gene-Tsubulata_014480	-	JAKUCV010000001.1	+	83031	86287	0.000000	0.000000	0.000000
gene-Tsubulata_014481	-	JAKUCV010000001.1	-	85922	86521	5.095000	1.871318	3.906737
gene-Tsubulata_014479	RPL8_2	JAKUCV010000001.1	+	80839	82785	273.453979	100.435593	209.678680
gene-Tsubulata_014485	RH35_2	JAKUCV010000001.1	+	96128	97891	108.829933	39.971622	83.448471
gene-Tsubulata_014486	-	JAKUCV010000001.1	-	100546	102341	133.353104	48.978619	102.252319
gene-Tsubulata_014488	TYRAAT2_1	JAKUCV010000001.1	-	106487	107653	18.703514	6.869524	14.341455
gene-Tsubulata_014490	NIP12_2	JAKUCV010000001.1	+	121341	122926	0.000000	0.000000	0.000000
gene-Tsubulata_014494	-	JAKUCV010000001.1	+	153274	153894	0.241546	0.088716	0.185212
gene-Tsubulata_014491	-	JAKUCV010000001.1	+	128028	130847	28.945917	10.631407	22.195112
gene-Tsubulata_014492	-	JAKUCV010000001.1	-	130827	133700	0.000000	0.000000	0.000000
gene-Tsubulata_014498	-	JAKUCV010000001.1	+	176012	180405	5.732304	2.105390	4.395409
gene-Tsubulata_014495	-	JAKUCV010000001.1	-	155799	168533	16.197191	5.948988	12.419661
gene-Tsubulata_014489	-	JAKUCV010000001.1	-	109363	113989	1225.107178	449.963715	939.386108
gene-Tsubulata_028724	-	JAKUCV010000002.1	+	4788	9310	143.168747	52.583759	109.778748
gene-Tsubulata_028726	-	JAKUCV010000002.1	-	14811	15653	0.376038	0.138113	0.288338
gene-Tsubulata_028727	MYB26	JAKUCV010000002.1	-	15884	16322	0.000000	0.000000	0.000000
gene-Tsubulata_028725	-	JAKUCV010000002.1	+	10192	12050	31.120058	11.429936	23.862198
gene-Tsubulata_028729	-	JAKUCV010000002.1	+	28654	29190	19.052805	6.997813	14.609284
gene-Tsubulata_028728	-	JAKUCV010000002.1	-	25545	27792	0.000000	0.000000	0.000000
gene-Tsubulata_028730	-	JAKUCV010000002.1	+	30706	33998	1.153974	0.423838	0.884843
gene-Tsubulata_028731	COAC1_2	JAKUCV010000002.1	-	33129	36401	34.724346	12.753738	26.625889
gene-Tsubulata_028732	-	JAKUCV010000002.1	+	36609	40060	75.207344	27.622543	57.667389
gene-Tsubulata_028735	ALA4	JAKUCV010000002.1	+	52469	59000	174.384521	64.048851	133.714340
gene-Tsubulata_028742	PDAT1_3	JAKUCV010000002.1	+	88879	89539	17.932821	6.586459	13.750505
gene-Tsubulata_947192	-	JAKUCV010000005.1	+	3280	5626	0.000000	0.000000	0.000000
gene-Tsubulata_022990	-	JAKUCV010000003.1	+	46482	73099	0.161372	0.059270	0.123737
gene-Tsubulata_023000	-	JAKUCV010000003.1	-	114500	123440	0.000000	0.000000	0.000000
gene-Tsubulata_022991	-	JAKUCV010000003.1	-	74040	84113	0.000000	0.000000	0.000000
gene-Tsubulata_028736	CKL2_2	JAKUCV010000002.1	+	59760	64314	348.822418	128.117294	267.469604
gene-Tsubulata_047192	-	JAKUCV010000005.1	+	14101	21544	9.492846	3.486582	7.278912
gene-Tsubulata_047193	-	JAKUCV010000005.1	+	23066	23386	16.073208	5.903451	12.324594
gene-Tsubulata_047738	-	JAKUCV010000006.1	+	14196	18843	0.719391	0.264222	0.551614
gene-Tsubulata_047739	-	JAKUCV010000006.1	-	14206	16292	0.000000	0.000000	0.000000
gene-Tsubulata_012426	-	JAKUCV010000008.1	+	2234	5394	52.985687	19.460857	40.628296
gene-Tsubulata_012427	-	JAKUCV010000008.1	+	6519	16398	56.504040	20.753098	43.326092
gene-Tsubulata_012428	LOS1_1	JAKUCV010000008.1	+	17974	21688	449.427826	165.068176	344.611694
gene-Tsubulata_012429	-	JAKUCV010000008.1	+	24377	35529	0.000000	0.000000	0.000000
gene-Tsubulata_012430	-	JAKUCV010000008.1	+	35657	42787	0.000000	0.000000	0.000000
gene-Tsubulata_012431	LOS1_2	JAKUCV010000008.1	-	47695	51839	384.536011	141.234375	294.854004
gene-Tsubulata_012432	-	JAKUCV010000008.1	+	61168	64442	28.461086	10.453336	21.823355
gene-Tsubulata_012433	-	JAKUCV010000008.1	+	65214	65783	0.000000	0.000000	0.000000
gene-Tsubulata_012434	-	JAKUCV010000008.1	-	70645	75065	11.159464	4.098706	8.556839
gene-Tsubulata_012435	-	JAKUCV010000008.1	-	80304	87409	8.989488	3.301706	6.892948
gene-Tsubulata_012436	-	JAKUCV010000008.1	-	96005	97429	10.504561	3.858170	8.054673
gene-Tsubulata_012438	-	JAKUCV010000008.1	-	99984	107249	6.433635	2.362979	4.933174
gene-Tsubulata_012439	-	JAKUCV010000008.1	+	114666	118830	53.426586	19.622793	40.966370
