Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-Tsubulata_014469	-	JAKUCV010000001.1	+	7571	10654	86.871613	31.051765	63.675507
gene-Tsubulata_014470	-	JAKUCV010000001.1	-	12003	12605	92.542290	33.078716	67.832016
gene-Tsubulata_014471	-	JAKUCV010000001.1	+	17520	20265	1.933560	0.691140	1.417269
gene-Tsubulata_014472	AVT6E	JAKUCV010000001.1	-	23234	24730	91.704071	32.779102	67.217621
gene-Tsubulata_014473	TPR1_1	JAKUCV010000001.1	+	38818	46841	136.665680	48.850372	100.173759
gene-Tsubulata_014476	-	JAKUCV010000001.1	-	63970	70364	117.468620	41.988491	86.102623
gene-Tsubulata_014478	-	JAKUCV010000001.1	+	75982	80274	98.752670	35.298580	72.384132
gene-Tsubulata_014480	-	JAKUCV010000001.1	+	83031	86287	1.853960	0.662688	1.358923
gene-Tsubulata_014481	-	JAKUCV010000001.1	-	85922	86521	20.112665	7.189158	14.742263
gene-Tsubulata_014479	RPL8_2	JAKUCV010000001.1	+	80839	82785	558.333618	199.573181	409.249634
gene-Tsubulata_014485	RH35_2	JAKUCV010000001.1	+	96128	97891	165.121323	59.021683	121.031296
gene-Tsubulata_014486	-	JAKUCV010000001.1	-	100546	102341	82.762711	29.583061	60.663746
gene-Tsubulata_014487	-	JAKUCV010000001.1	+	103446	104969	4.338999	1.550951	3.180417
gene-Tsubulata_014488	TYRAAT2_1	JAKUCV010000001.1	-	106487	107653	76.410454	27.312483	56.007645
gene-Tsubulata_014489	-	JAKUCV010000001.1	-	109363	113989	812.835144	290.543304	595.795166
gene-Tsubulata_014494	-	JAKUCV010000001.1	+	153274	153894	3.867955	1.382579	2.835149
gene-Tsubulata_014491	-	JAKUCV010000001.1	+	128028	130847	133.922119	47.869701	98.162773
gene-Tsubulata_014492	-	JAKUCV010000001.1	-	130827	133700	0.000000	0.000000	0.000000
gene-Tsubulata_014495	-	JAKUCV010000001.1	-	155799	168533	32.357143	11.565877	23.717270
gene-Tsubulata_014498	-	JAKUCV010000001.1	+	176012	180405	20.533491	7.339580	15.050721
gene-Tsubulata_028724	-	JAKUCV010000002.1	+	4788	9310	61.723076	22.062563	45.242027
gene-Tsubulata_028725	-	JAKUCV010000002.1	+	10192	12050	57.306370	20.483837	42.004654
gene-Tsubulata_028726	-	JAKUCV010000002.1	-	14811	15653	30.505928	10.904171	22.360357
gene-Tsubulata_028727	MYB26	JAKUCV010000002.1	-	15884	16322	37.702248	13.476454	27.635145
gene-Tsubulata_028728	-	JAKUCV010000002.1	-	25545	27792	5.249381	1.876361	3.847713
