Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-Tsubulata_014470	-	JAKUCV010000001.1	-	12003	12605	15.265340	5.938784	11.989038
gene-Tsubulata_014469	-	JAKUCV010000001.1	+	7571	10654	46.180801	17.966049	36.269310
gene-Tsubulata_014471	-	JAKUCV010000001.1	+	17520	20265	1.180579	0.459289	0.927199
gene-Tsubulata_014472	AVT6E	JAKUCV010000001.1	-	23234	24730	159.065460	61.882374	124.926254
gene-Tsubulata_014473	TPR1_1	JAKUCV010000001.1	+	38818	46841	132.657852	51.608833	104.186348
gene-Tsubulata_014476	-	JAKUCV010000001.1	-	63970	70364	56.162605	21.849340	44.108784
gene-Tsubulata_014478	-	JAKUCV010000001.1	+	75982	80274	80.898628	31.472574	63.535877
gene-Tsubulata_014480	-	JAKUCV010000001.1	+	83031	86287	0.734911	0.285908	0.577182
gene-Tsubulata_014481	-	JAKUCV010000001.1	-	85922	86521	1.218782	0.474151	0.957203
gene-Tsubulata_014483	-	JAKUCV010000001.1	+	89245	93457	0.000000	0.000000	0.000000
gene-Tsubulata_014479	RPL8_2	JAKUCV010000001.1	+	80839	82785	350.993011	136.549332	275.661652
gene-Tsubulata_014485	RH35_2	JAKUCV010000001.1	+	96128	97891	166.642014	64.829933	130.876709
gene-Tsubulata_014487	-	JAKUCV010000001.1	+	103446	104969	0.950897	0.369934	0.746812
gene-Tsubulata_014486	-	JAKUCV010000001.1	-	100546	102341	141.281860	54.963890	110.959435
gene-Tsubulata_014488	TYRAAT2_1	JAKUCV010000001.1	-	106487	107653	27.095116	10.541007	21.279865
gene-Tsubulata_014494	-	JAKUCV010000001.1	+	153274	153894	0.446055	0.173532	0.350321
gene-Tsubulata_014491	-	JAKUCV010000001.1	+	128028	130847	36.075718	14.034795	28.333015
gene-Tsubulata_014492	-	JAKUCV010000001.1	-	130827	133700	0.000000	0.000000	0.000000
gene-Tsubulata_014498	-	JAKUCV010000001.1	+	176012	180405	7.222565	2.809846	5.672432
gene-Tsubulata_014495	-	JAKUCV010000001.1	-	155799	168533	21.910755	8.524098	17.208191
gene-Tsubulata_014489	-	JAKUCV010000001.1	-	109363	113989	1356.740967	527.822632	1065.552368
gene-Tsubulata_028724	-	JAKUCV010000002.1	+	4788	9310	129.224213	50.273022	101.489647
gene-Tsubulata_028726	-	JAKUCV010000002.1	-	14811	15653	0.930012	0.361809	0.730410
gene-Tsubulata_028727	MYB26	JAKUCV010000002.1	-	15884	16322	0.000000	0.000000	0.000000
gene-Tsubulata_028725	-	JAKUCV010000002.1	+	10192	12050	35.445827	13.789743	27.838316
gene-Tsubulata_028728	-	JAKUCV010000002.1	-	25545	27792	0.858911	0.334148	0.674568
gene-Tsubulata_028729	-	JAKUCV010000002.1	+	28654	29190	14.323432	5.572348	11.249286
gene-Tsubulata_028730	-	JAKUCV010000002.1	+	30706	33998	4.281590	1.665698	3.362660
gene-Tsubulata_028731	COAC1_2	JAKUCV010000002.1	-	33129	36401	55.867500	21.734533	43.877014
gene-Tsubulata_028732	-	JAKUCV010000002.1	+	36609	40060	90.012840	35.018341	70.693962
gene-Tsubulata_028735	ALA4	JAKUCV010000002.1	+	52469	59000	140.365479	54.607388	110.239731
gene-Tsubulata_028742	PDAT1_3	JAKUCV010000002.1	+	88879	89539	29.000959	11.282452	22.776670
gene-Tsubulata_022991	-	JAKUCV010000003.1	-	74040	84113	0.000000	0.000000	0.000000
gene-Tsubulata_022990	-	JAKUCV010000003.1	+	46482	73099	0.728229	0.283308	0.571934
gene-Tsubulata_022992	-	JAKUCV010000003.1	-	84150	85817	0.000000	0.000000	0.000000
gene-Tsubulata_022997	-	JAKUCV010000003.1	-	101744	104002	0.151942	0.059111	0.119332
gene-Tsubulata_023000	-	JAKUCV010000003.1	-	114500	123440	0.000000	0.000000	0.000000
gene-Tsubulata_028736	CKL2_2	JAKUCV010000002.1	+	59760	64314	325.545868	126.649437	255.676025
gene-Tsubulata_047192	-	JAKUCV010000005.1	+	14101	21544	11.471107	4.462687	9.009137
gene-Tsubulata_047193	-	JAKUCV010000005.1	+	23066	23386	19.834890	7.716509	15.577854
gene-Tsubulata_047738	-	JAKUCV010000006.1	+	14196	18843	0.813107	0.316329	0.638595
gene-Tsubulata_047739	-	JAKUCV010000006.1	-	14206	16292	0.000000	0.000000	0.000000
gene-Tsubulata_012426	-	JAKUCV010000008.1	+	2234	5394	55.368389	21.540361	43.485023
gene-Tsubulata_012427	-	JAKUCV010000008.1	+	6519	16398	57.834751	22.499866	45.422050
gene-Tsubulata_012428	LOS1_1	JAKUCV010000008.1	+	17974	21688	590.128357	229.581863	463.472900
gene-Tsubulata_012429	-	JAKUCV010000008.1	+	24377	35529	0.000000	0.000000	0.000000
gene-Tsubulata_012430	-	JAKUCV010000008.1	+	35657	42787	0.000000	0.000000	0.000000
gene-Tsubulata_012431	LOS1_2	JAKUCV010000008.1	-	47695	51839	431.048309	167.693802	338.535187
gene-Tsubulata_012432	-	JAKUCV010000008.1	+	61168	64442	39.070404	15.199840	30.684973
gene-Tsubulata_012433	-	JAKUCV010000008.1	+	65214	65783	0.000000	0.000000	0.000000
gene-Tsubulata_012434	-	JAKUCV010000008.1	-	70645	75065	16.917725	6.581624	13.286781
gene-Tsubulata_012435	-	JAKUCV010000008.1	-	80304	87409	9.435552	3.670780	7.410460
gene-Tsubulata_012436	-	JAKUCV010000008.1	-	96005	97429	16.571407	6.446893	13.014791
gene-Tsubulata_012438	-	JAKUCV010000008.1	-	99984	107249	17.124016	6.661879	13.448798
gene-Tsubulata_012439	-	JAKUCV010000008.1	+	114666	118830	86.214973	33.540829	67.711205
gene-Tsubulata_012440	EIF62	JAKUCV010000008.1	+	122256	124796	111.027214	43.193714	87.198158
gene-Tsubulata_012441	MPT1_1	JAKUCV010000008.1	-	124854	127843	7.807640	3.037462	6.131936
gene-Tsubulata_012443	-	JAKUCV010000008.1	-	128995	133646	0.000000	0.000000	0.000000
gene-Tsubulata_012444	-	JAKUCV010000008.1	+	135403	139678	102.759445	39.977245	80.704842
